Placeholder_of_class,Name
111,"Growing of cereals (except rice), leguminous crops and oil seeds"
112,Growing of rice
113,"Growing of vegetables and melons, roots and tubers"
114,Growing of sugar cane
115,Growing of tobacco
116,Growing of fibre crops
119,Growing of other non-perennial crop
121,Growing of grapes
122,Growing of tropical and subtropical fruits
123,Growing of citrus fruits
124,Growing of pome fruits and stone fruits
125,Growing of other tree and bush fruits and nuts
126,Growing of oleaginous fruits
127,Growing of beverage crops
128,"Growing of spices, aromatic, drug and pharmaceutical crops"
129,Growing of other perennial crops
130,plant propagation
141,raising of cattle and buffaloes
142,raising of horses and other equines
1420,Raising of horses and other equines
143,raising and breeding of camels and camelids
144,raising of sheep and goats
145,raising of swine/pigs
146,raising of poultry
149,raising of other animals
150,mixed farming
161,Support activities for crop production
162,Support activities for animal production
163,post-harvest crop activities
164,Seed processing for propagation
170,"hunting, trapping and related service activities"
210,Silviculture and other forestry activities
220,logging
230,Gathering of non-wood forest products
240,Support services to forestry
311,Marine fishing
312,Freash water fishing
321,marine aquaculture
322,Freshwater aquaculture
510,mining of hard coal
520,mining of lignite
610,extraction of crude petroleum
620,extraction of natural gas
710,mining of iron ores
721,mining of uranium and thorium ores
729,mining of other non-ferrous metal ores
810,"quarrying of stone, sand and clay"
891,mining of chemical and fertilizer minerals
892,extraction and agglomeration of peat
893,extraction of salt
899,other mining and quarrying n.e.c.
910,Support activities for petroleum and natural gas mining
990,Support activities for other mining and quarrying
1010,processing and preserving of meat
1020,"Processing and preserving of fish, crustaceans and molluscs and"
1030,processing and preserving of fruit and vegetables
1040,manufacture of vegetable and animal oils and fats
1050,manufacture of dairy products
1061,manufacture of grain mill products
1062,manufacture of starches and starch products
1071,manufacture of bakery products
1072,manufacture of sugar
1073,"manufacture of cocoa, chocolate and sugar confectionery"
1074,"manufacture of macaroni, noodles, couscous and similar farinaceous"
1075,manufacture of prepared meals and dishes
1079,manufacture of other food products n.e.c.
1080,manufacture of prepared animal feeds
1101,"Distilling, rectifying and blending of spirits; ethyl alcohol production"
1102,manufacture of wines
1103,manufacture of malt liquors and malt
1104,manufacture of soft drinks; production of mineral waters and other
1200,manufacture of tobacco products
1311,Preparation and spinning of textile fibres
1312,Weaving of textiles
1313,Finishing of textiles
1391,manufacture of knitted and crocheted fabrics
1392,"manufacture of made-up textile articles, except apparel"
1393,manufacture of carpets and rugs
