Name_of_class,Keywords_from_description
"'Growing of cereals (except rice), leguminous crops and oil seeds'","['often combined within agricultural units', 'except rice ), leguminous crops', ""see 0119 '>"", 'considered organic farming', 'genetically modified crops', ""description =' growing"", 'leguminous crops', 'record n', 'open fields', 'oil seeds', 'oil seeds', 'class includes', 'class excludes', 'crops', 'growing', 'growing', 'growing', 'growing', 'maize', 'including', 'forms', 'fodder', 'cereals', 'cereals']"
'Growing of rice',"['including organic farming', 'genetically modified rice', ""description =' growing"", 'record n', 'class includes', 'rice', 'rice', 'growing', 'growing', ""'>""]"
"'Growing of vegetables and melons, roots and tubers'","[""see 0128 '>"", 'capsicum spp .)', 'see 0130 growing', ""description =' growing"", 'record n', 'mushroom spawn', 'class excludes', 'aromatic crops', 'growing', 'vegetables', 'tubers', 'spices', 'roots', 'peppers', 'melons', 'chilies']"
'Growing of sugar cane',"[""see 0113 '>"", ""description =' growing"", 'sugar cane', 'sugar beet', 'record n', 'class excludes', 'growing']"
'Growing of tobacco',"[""description =' growing"", 'class includes growing', 'record n', 'cured stemmed', ""tobacco '>"", 'tobacco', 'unmanufactured', 'stripped']"
'Growing of fibre crops',"[""fibre crops '>"", ""description =' growing"", 'record n']"
'Growing of other non-perennial crop',"[""see 0128 '>"", ""description =' growing"", 'record n', 'pharmaceutical crops', 'perennial spice', 'perennial crop', 'class excludes', 'growing', 'non', 'non', 'drug', 'aromatic']"
'Growing of grapes',"[""see 1102 '>"", ""description =' growing"", 'class includes growing', 'class excludes', 'record n', 'table grapes', 'wine grapes', 'grapes', 'wine', 'vineyards', 'manufacture']"
'Growing of tropical and subtropical fruits',"[""subtropical fruits '>"", ""description =' growing"", 'record n', 'tropical']"
'Growing of citrus fruits',"[""description =' growing"", ""citrus fruits '>"", 'record n']"
'Growing of pome fruits and stone fruits',"[""description =' growing"", ""stone fruits '>"", 'pome fruits', 'record n']"
'Growing of other tree and bush fruits and nuts',"[""see 0126 '>"", ""description =' growing"", 'record n', 'class excludes', 'bush fruits', 'growing', 'tree', 'nuts', 'coconuts']"
'Growing of oleaginous fruits',"[""see 0111 '>"", ""description =' growing"", 'soya beans', 'record n', 'oleaginous fruits', 'oil seeds', 'class excludes', 'growing', 'groundnuts']"
'Growing of beverage crops',"[""description =' growing"", ""beverage crops '>"", 'record n']"
"'Growing of spices, aromatic, drug and pharmaceutical crops'","[""pharmaceutical crops '>"", ""description =' growing"", 'record n', 'spices', 'drug', 'aromatic']"
